HWP_ANGLE MOVE_START MOVE_END VAMP_PREFIX
00.00 20190226T075703 20190226T075709 HD34700
22.50 20190226T075914 20190226T075920 HD34700
45.00 20190226T080124 20190226T080130 HD34700
67.50 20190226T080334 20190226T080340 HD34700
00.00 20190226T080545 20190226T080551 HD34700
00.00 20190226T082826 20190226T082832 HD34700
22.50 20190226T082933 20190226T082939 HD34700
45.00 20190226T083037 20190226T083043 HD34700
67.50 20190226T083141 20190226T083147 HD34700
00.00 20190226T083244 20190226T083250 HD34700
22.50 20190226T083358 20190226T083404 HD34700
45.00 20190226T083523 20190226T083529 HD34700
67.50 20190226T083651 20190226T083657 HD34700
00.00 20190226T083840 20190226T083846 HD34700
22.50 20190226T084011 20190226T084017 HD34700
00.00 20190226T084207 20190226T084213 HD34700
00.00 20190226T084335 20190226T084341 HD34700
00.00 20190226T084426 20190226T084432 HD34700
22.50 20190226T084540 20190226T084546 HD34700
45.00 20190226T084705 20190226T084711 HD34700
67.50 20190226T084846 20190226T084852 HD34700
00.00 20190226T085033 20190226T085039 HD34700
22.50 20190226T085202 20190226T085208 HD34700
45.00 20190226T085328 20190226T085334 HD34700
67.50 20190226T085522 20190226T085528 HD34700
00.00 20190226T085610 20190226T085616 HD34700
22.50 20190226T085745 20190226T085751 HD34700
45.00 20190226T085938 20190226T085944 HD34700
67.50 20190226T090055 20190226T090101 HD34700
00.00 20190226T090236 20190226T090242 HD34700
22.50 20190226T090418 20190226T090424 HD34700
00.00 20190226T090511 20190226T090517 HD34700
22.50 20190226T090733 20190226T090739 HD34700
45.00 20190226T090852 20190226T090858 HD34700
67.50 20190226T091016 20190226T091022 HD34700
00.00 20190226T091222 20190226T091228 HD34700
22.50 20190226T091352 20190226T091358 HD34700
45.00 20190226T091504 20190226T091510 HD34700
67.50 20190226T091654 20190226T091700 HD34700
00.00 20190226T053631 20190226T053637 HD43384
22.50 20190226T053658 20190226T053704 HD43384
00.00 20190226T053822 20190226T053828 HD43384
22.50 20190226T053850 20190226T053856 HD43384
45.00 20190226T053916 20190226T053922 HD43384
67.50 20190226T053942 20190226T053948 HD43384
00.00 20190226T054009 20190226T054015 HD43384
22.50 20190226T054035 20190226T054041 HD43384
45.00 20190226T054101 20190226T054107 HD43384
67.50 20190226T054128 20190226T054134 HD43384
00.00 20190226T063251 20190226T063257 MC147
22.50 20190226T063324 20190226T063330 MC147
45.00 20190226T063355 20190226T063401 MC147
67.50 20190226T063426 20190226T063432 MC147
00.00 20190226T063457 20190226T063503 MC147
00.00 20190226T063809 20190226T063815 MC147
22.50 20190226T063838 20190226T063844 MC147
45.00 20190226T063907 20190226T063913 MC147
67.50 20190226T063934 20190226T063940 MC147
00.00 20190226T064132 20190226T064138 MC147
00.00 20190226T064811 20190226T064817 MC147
45.00 20190226T065325 20190226T065331 MC147
67.50 20190226T065357 20190226T065403 MC147
00.00 20190226T065427 20190226T065433 MC147
22.50 20190226T065459 20190226T065505 MC147
45.00 20190226T065531 20190226T065537 MC147
67.50 20190226T065602 20190226T065608 MC147
00.00 20190226T065633 20190226T065639 MC147
00.00 20190226T070047 20190226T070053 MC147
22.50 20190226T070117 20190226T070123 MC147
45.00 20190226T070144 20190226T070150 MC147
22.50 20190226T064843 20190226T064849 MC147
67.50 20190226T070212 20190226T070218 MC147
00.00 20190226T070240 20190226T070246 MC147
22.50 20190226T070308 20190226T070314 MC147
45.00 20190226T070337 20190226T070343 MC147
67.50 20190226T070404 20190226T070410 MC147
00.00 20190226T070438 20190226T070444 MC147
22.50 20190226T070506 20190226T070512 MC147
45.00 20190226T070534 20190226T070540 MC147
67.50 20190226T070602 20190226T070608 MC147
00.00 20190226T070631 20190226T070637 MC147
45.00 20190226T064916 20190226T064922 MC147
22.50 20190226T070659 20190226T070705 MC147
45.00 20190226T070727 20190226T070733 MC147
67.50 20190226T064947 20190226T064953 MC147
00.00 20190226T065018 20190226T065024 MC147
22.50 20190226T065049 20190226T065055 MC147
45.00 20190226T065120 20190226T065126 MC147
67.50 20190226T065152 20190226T065158 MC147
00.00 20190226T065223 20190226T065229 MC147
22.50 20190226T065253 20190226T065259 MC147
00.00 20190226T070758 20190226T070804 MC147
45.00 20190226T071247 20190226T071253 MC147
67.50 20190226T071315 20190226T071321 MC147
00.00 20190226T071343 20190226T071349 MC147
22.50 20190226T071411 20190226T071417 MC147
45.00 20190226T071439 20190226T071445 MC147
67.50 20190226T071513 20190226T071519 MC147
00.00 20190226T071541 20190226T071547 MC147
22.50 20190226T071609 20190226T071615 MC147
45.00 20190226T071637 20190226T071643 MC147
67.50 20190226T071705 20190226T071711 MC147
22.50 20190226T070827 20190226T070833 MC147
00.00 20190226T071734 20190226T071740 MC147
22.50 20190226T071802 20190226T071808 MC147
45.00 20190226T071830 20190226T071836 MC147
67.50 20190226T071858 20190226T071904 MC147
00.00 20190226T071927 20190226T071933 MC147
22.50 20190226T071955 20190226T072001 MC147
45.00 20190226T072024 20190226T072030 MC147
67.50 20190226T072051 20190226T072057 MC147
00.00 20190226T072119 20190226T072125 MC147
22.50 20190226T072147 20190226T072153 MC147
45.00 20190226T070901 20190226T070907 MC147
45.00 20190226T072216 20190226T072222 MC147
67.50 20190226T072244 20190226T072250 MC147
00.00 20190226T072312 20190226T072318 MC147
22.50 20190226T072340 20190226T072346 MC147
45.00 20190226T072409 20190226T072415 MC147
67.50 20190226T072438 20190226T072444 MC147
00.00 20190226T072506 20190226T072512 MC147
22.50 20190226T072534 20190226T072540 MC147
45.00 20190226T072602 20190226T072608 MC147
67.50 20190226T072631 20190226T072637 MC147
67.50 20190226T070929 20190226T070935 MC147
00.00 20190226T072659 20190226T072705 MC147
22.50 20190226T072727 20190226T072733 MC147
45.00 20190226T072755 20190226T072801 MC147
67.50 20190226T072823 20190226T072829 MC147
00.00 20190226T072851 20190226T072857 MC147
22.50 20190226T072919 20190226T072925 MC147
45.00 20190226T072947 20190226T072953 MC147
67.50 20190226T073015 20190226T073021 MC147
00.00 20190226T073043 20190226T073049 MC147
22.50 20190226T073111 20190226T073117 MC147
00.00 20190226T070957 20190226T071003 MC147
45.00 20190226T073139 20190226T073145 MC147
67.50 20190226T073207 20190226T073213 MC147
00.00 20190226T073235 20190226T073241 MC147
22.50 20190226T073304 20190226T073310 MC147
45.00 20190226T073332 20190226T073338 MC147
67.50 20190226T073400 20190226T073406 MC147
00.00 20190226T073429 20190226T073435 MC147
22.50 20190226T071026 20190226T071032 MC147
45.00 20190226T071054 20190226T071100 MC147
67.50 20190226T071122 20190226T071128 MC147
00.00 20190226T071150 20190226T071156 MC147
22.50 20190226T071219 20190226T071225 MC147
00.00 20190226T150820 20190226T150826 piHya
22.50 20190226T150908 20190226T150914 piHya
45.00 20190226T150954 20190226T151000 piHya
67.50 20190226T151041 20190226T151047 piHya
00.00 20190226T151126 20190226T151132 piHya
00.00 20190226T151207 20190226T151213 piHya
22.50 20190226T151254 20190226T151300 piHya
45.00 20190226T151339 20190226T151345 piHya
67.50 20190226T151425 20190226T151431 piHya
00.00 20190226T151517 20190226T151523 piHya
00.00 20190226T130328 20190226T130334 WDS
22.50 20190226T130357 20190226T130403 WDS
45.00 20190226T130424 20190226T130430 WDS
67.50 20190226T130451 20190226T130457 WDS
00.00 20190226T130534 20190226T130540 WDS
22.50 20190226T130602 20190226T130608 WDS
45.00 20190226T130628 20190226T130634 WDS
67.50 20190226T130654 20190226T130700 WDS
00.00 20190226T130805 20190226T130811 WDS
22.50 20190226T130833 20190226T130839 WDS
45.00 20190226T130859 20190226T130905 WDS
67.50 20190226T130926 20190226T130932 WDS
00.00 20190226T142917 20190226T142923 WHya
45.00 20190226T143342 20190226T143348 WHya
67.50 20190226T143408 20190226T143414 WHya
00.00 20190226T143434 20190226T143440 WHya
22.50 20190226T143501 20190226T143507 WHya
45.00 20190226T143527 20190226T143533 WHya
67.50 20190226T143554 20190226T143600 WHya
00.00 20190226T143621 20190226T143627 WHya
22.50 20190226T143646 20190226T143652 WHya
22.50 20190226T142946 20190226T142952 WHya
45.00 20190226T143012 20190226T143018 WHya
67.50 20190226T143038 20190226T143044 WHya
00.00 20190226T143104 20190226T143110 WHya
22.50 20190226T143130 20190226T143136 WHya
45.00 20190226T143156 20190226T143202 WHya
67.50 20190226T143222 20190226T143228 WHya
00.00 20190226T143249 20190226T143255 WHya
22.50 20190226T143315 20190226T143321 WHya
00.00 20190226T144018 20190226T144024 WHya
45.00 20190226T144751 20190226T144757 WHya
67.50 20190226T144837 20190226T144843 WHya
00.00 20190226T144922 20190226T144928 WHya
22.50 20190226T145008 20190226T145014 WHya
45.00 20190226T145054 20190226T145100 WHya
67.50 20190226T145140 20190226T145146 WHya
00.00 20190226T145224 20190226T145230 WHya
22.50 20190226T144105 20190226T144111 WHya
45.00 20190226T144150 20190226T144156 WHya
67.50 20190226T144235 20190226T144241 WHya
00.00 20190226T144320 20190226T144326 WHya
22.50 20190226T144405 20190226T144411 WHya
